,genes_0,genes_1,x,y,cluster
177123,20408.25,21403.285,21049.0,10059.0,725.0
177138,21616.318,20356.764,21046.0,9513.0,725.0
177146,20706.965,20977.25,21059.0,9407.0,725.0
177147,19912.162,22622.62,21057.0,9886.0,159.0
177151,21768.932,20208.207,21065.0,9389.0,725.0
177155,21669.965,20248.135,21061.0,9475.0,725.0
177160,21658.3,20245.738,21055.0,9567.0,725.0
177161,22220.975,19998.182,21062.0,9687.0,166.0
177167,21577.266,20550.393,21063.0,9806.0,167.0
177169,20679.447,20906.938,21061.0,9534.0,725.0
177182,21494.69,20297.684,21079.0,9501.0,725.0
177183,20720.785,20758.766,21062.0,9663.0,168.0
177198,20119.238,22301.635,21073.0,9996.0,237.0
177199,20116.637,22296.49,21073.0,10061.0,237.0
177204,20572.912,21131.809,21069.0,9983.0,165.0
177205,20178.357,22214.803,21074.0,10030.0,237.0
177215,20502.615,21976.79,21072.0,9783.0,169.0
177218,22289.252,20123.805,21080.0,9432.0,731.0
177219,21907.648,20175.404,21066.0,9599.0,725.0
177231,21208.613,20393.104,21092.0,9696.0,725.0
177232,20048.951,22400.205,21081.0,9956.0,237.0
177234,20440.531,21304.088,21081.0,9482.0,725.0
177237,20733.242,20935.768,21076.0,9737.0,725.0
177244,20631.826,21052.043,21086.0,9457.0,725.0
177250,20585.998,21167.924,21085.0,9539.0,725.0
177251,21000.121,22128.682,21080.0,9837.0,170.0
177257,22620.266,20132.104,21095.0,9376.0,731.0
177258,21548.234,20347.533,21110.0,9577.0,725.0
177259,20768.488,21528.742,21093.0,9805.0,171.0
177269,21124.441,20598.791,21090.0,9522.0,725.0
177273,20135.113,22264.824,21090.0,10033.0,237.0
177277,22302.262,19920.432,21089.0,9639.0,172.0
177287,20669.602,21103.492,21097.0,9489.0,725.0
177289,20333.094,21839.56,21099.0,9660.0,237.0
177293,21801.82,20269.729,21107.0,9407.0,725.0
177294,20124.953,22300.932,21101.0,9734.0,237.0
177296,20902.068,20776.621,21100.0,9556.0,725.0
177297,20432.652,21350.785,21103.0,9918.0,725.0
177309,21229.562,20452.566,21106.0,9436.0,725.0
177312,21403.521,20373.812,21115.0,9336.0,725.0
177313,21675.83,19966.902,21111.0,9680.0,154.0
177320,21063.94,20667.527,21109.0,9467.0,725.0
177321,22414.758,19988.904,21122.0,9599.0,173.0
177322,20784.025,20805.912,21117.0,9998.0,725.0
177336,20810.305,20834.205,21120.0,9959.0,725.0
177343,20716.445,20900.344,21116.0,9505.0,725.0
177344,20253.527,21904.217,21117.0,9532.0,237.0
177345,21964.402,20125.195,21112.0,9878.0,725.0
177352,21219.82,20447.234,21114.0,9623.0,725.0
177355,20797.793,20782.56,21127.0,9560.0,725.0
177368,20531.031,21100.877,21123.0,9709.0,174.0
